eta,classical_selection,classical_loss,classical_utility,optimum_probability,qaoa_top_selection,qaoa_top_probability,optimizer_fun
0.1,110101,-0.0033251880852828227,0.0033251880852828227,0.03374486789885571,110101,0.03374486789885571,-0.1906867525321541
0.5,110101,-0.0033251880852828227,0.0033251880852828227,0.04461715527519385,110101,0.04461715527519385,-1.0436775226181993
1.0,110101,-0.0033251880852828227,0.0033251880852828227,0.04957444984076744,111111,0.05296888579667437,-1.9179145234604418
2.0,110101,-0.0033251880852828227,0.0033251880852828227,0.05342982701475368,111001,0.05343257649039186,-3.2229267460794575
3.0,110101,-0.0033251880852828227,0.0033251880852828227,0.05131049418927088,110101,0.05131049418927088,-6.40807599474676
4.0,110101,-0.0033251880852828227,0.0033251880852828227,0.012778502803388945,001110,0.03158881076292758,-5.647009798777223
6.0,110101,-0.0033251880852828227,0.0033251880852828227,0.04324575310314931,001111,0.043300959941787426,-12.38762469637798
8.0,110101,-0.0033251880852828227,0.0033251880852828227,0.037034267512227825,110101,0.037034267512227825,-15.334318055312245
10.0,110101,-0.0033251880852828227,0.0033251880852828227,0.03806256896583245,110101,0.03806256896583245,-19.669633067752798
12.0,110101,-0.0033251880852828227,0.0033251880852828227,0.04167224232462413,001111,0.041701206729547684,-24.2640563821269
